,0
199,Community Manager
200, Marketer  My influencer 
201,Research Analyst
202, Translator - Chinese
203,Translator - Spanish
204,Product Management
205,Community Manager
206, Translator - Chinese
207,Translator - French
208,Research Analyst
209, Writer
210, Management consultant currently; willing to help on all things strategy
211,Translator - Spanish
212, Writer
213, Traslator italian 
214,Chinese Channel Manager
215,Community Manager
216, Team coordinator 
217,Product Management
218, UI/UX Designer
219,Backend Dev
220, Data Analytics
221, Ethereum Dev
222, Product Management
223, Research Analyst
224,Writer
225,Community Manager
226, Government and Regulatory Affairs
227, Product Management
228, Research Analyst
229,Research Analyst
230, Russian translator
231,Audio & Video Editing. Audio restoration or enhancement etc.
232,Backend Dev
233, Community Manager
234, Ethereum Dev
235, Frontend Dev
236, Research Analyst
237, Writer
238,Community Manager
239, Research Analyst
240, Writer
241,Data Analytics
242, Writer
243,Creative (e.g.
244, graphic design or NFT creation)
245, Writer
246, Translator - German - if needed
247,Community Manager
248, Government and Regulatory Affairs
249, Writer
250,Community Manager
251,Creative (e.g.
252, graphic design or NFT creation)
253,Creative (e.g.
254, graphic design or NFT creation)
255, Frontend Dev
256, UI/UX Designer
257,Community Manager
258, Translator - Chinese
259, Writer
260,Community Manager
261, Product Management
262, Research Analyst
263, Writer
264,Writer
265,Community Manager
266, Research Analyst
267,Frontend Dev
268,Community Manager
269, Product Management
270, Writer
271, Market studies
272, studying actors/competition
273, creating excel models
274,Research Analyst
275, Writer
276,Research Analyst
277,Community Manager
278, Research Analyst
279, Writer
280,Community Manager
281, Creative (e.g.
282, graphic design or NFT creation)
283, Product Management
284, Writer
285, 3D Animator
286,Community Manager
287, Creative (e.g.
288, graphic design or NFT creation)
289, Product Management
290, Research Analyst
291, Writer
292,Ethereum Dev
293, Frontend Dev
294,Research Analyst
295, Writer
296,Community Manager
297, Twitter Meme Lord
298,Creative (e.g.
299, graphic design or NFT creation)
300, Data Analytics
301, Ethereum Dev
302, Product Management
303, Research Analyst
304, Translator - Spanish
305,Creative (e.g.
306, graphic design or NFT creation)
307, Data Analytics
308, Writer
309, education services in local communities.
310,Creative (e.g.
311, graphic design or NFT creation)
312, UI/UX Designer
313,Product Management
314, Writer
315, Translator - German
316,Creative (e.g.
317, graphic design or NFT creation)
318, UI/UX Designer
319,Creative (e.g.
320, graphic design or NFT creation)
321, PR & Event Production
322,Community Manager
323, Translator - Chinese
324,Data Analytics
325, Translator - Spanish
326, Writer
327,Twitter Meme Lord
328, Writer
329,Backend Dev
330, Data Analytics
331, Ethereum Dev
332, Frontend Dev
333,Writer
334,Backend Dev
335, Ethereum Dev
336,Creative (e.g.
337, graphic design or NFT creation)
338, Translator - Korean
339, Twitter Meme Lord
340, Writer
341, Translator - Dutch
342,Community Manager
343, Creative (e.g.
344, graphic design or NFT creation)
345, Daoist
346,Data Analytics
347, Government and Regulatory Affairs
348, Research Analyst
349,Data Analytics
350, Research Analyst
351,Creative (e.g.
352, graphic design or NFT creation)
353, Data Analytics
354, Government and Regulatory Affairs
355, Product Management
356, Research Analyst
357, Writer
358,Backend Dev
359, Data Analytics
360, Software Security
361,Research Analyst
362, Writer
363,Ethereum Dev
364, Writer
365,Community Manager
366, Ethereum Dev
367, Translator - Chinese
368, Twitter Meme Lord
369,Community Manager
370, Writer
371,Research Analyst
372, Translator - Chinese
373, Writer
374,Backend Dev
375, Creative (e.g.
376, graphic design or NFT creation)
377, Writer
378,Translator - Chinese
379,Translator - Persian (Farsi) & Marketing Consultant
380,Creative (e.g.
381, graphic design or NFT creation)
382, UI/UX Designer
383,Community Manager
384, Real world finance
385,Community Manager
386, Creative (e.g.
387, graphic design or NFT creation)
388, Product Management
389, Research Analyst
390, Writer
391, Translator - German
392,Backend Dev
393, Data Analytics
394, algorithmic trade
395,Translator - Spanish
396,Translator - Spanish
397,Creative (e.g.
398, graphic design or NFT creation)
399, Data Analytics
400, Writer
401, Translator Italian
402,Creative (e.g.
403, graphic design or NFT creation)
404, Government and Regulatory Affairs
405,Data Analytics
406, Translator - Spanish
407,Translator - Spanish
408,Micro pre-seed-investor
409,Community Manager
410, Research Analyst
411, Writer
412,Creative (e.g.
413, graphic design or NFT creation)
414, Translator - Spanish
415,Backend Dev
416, Data Analytics
417, Product Management
418,Data Analytics
419, Research Analyst
420,Backend Dev
421, Frontend Dev
422,Ethereum Dev
423,Backend Dev
424, Ethereum Dev
425, Frontend Dev
426, Research Analyst
427, Translator - Turkish
428,Community Manager
429, Creative (e.g.
430, graphic design or NFT creation)
431, Research Analyst
432, Translator - Vietnamese
433,Data Analytics
434, Writer
435,Translator - Polish
436,Government and Regulatory Affairs
437, Research Analyst
438, Business Development Roles 
439,Backend Dev
440, Ethereum Dev
441, Learning
442,Government and Regulatory Affairs
443, Research Analyst
444, Writer
445, Working in a mainstream bank
446,Community Manager
447, Government and Regulatory Affairs
448, Research Analyst
449, Translator - Spanish
450,Translator - Vietnamese
451,Backend Dev
452, Frontend Dev
453,Translator - Korean
454,Backend Dev
455, Data Analytics
456, Ethereum Dev
457, Research Analyst
458, Translator - Chinese
459, Translator - Korean
460, Writer
461, solidity \ rust \ substrate dev
462,Creative (e.g.
463, graphic design or NFT creation)
464, Writer
465, Marketing/PR
466,Data Analytics
467, Product Management
468, Research Analyst
469, Writer
470,Translator - Portuguese
471, Translator - Vietnamese
472, Writer
473, marketing
474, communications
475, branding
476, advertising
477, (mass consumer / boomer stuff)
478,Frontend Dev
479, UI/UX Designer
480, Information security
481,Backend Dev
482, Community Manager
483, Data Analytics
484, Government and Regulatory Affairs
485, Research Analyst
486,Translator - Spanish
487,Community Manager
488, Product Management
489, Research Analyst
490, Project Management
491,Community Manager
492, Product Management
493, Research Analyst
494, Business Development
495, Partnerships
496,Backend Dev
497, Data Analytics
498, Ethereum Dev
499, Frontend Dev
500, UI/UX Designer
501,Writer
502, Marketer - google SEO
503, content promotion / outreach
504,Translator - Chinese
505,DAO Governance Innovator/Documentarian
506,Product Management
507, Translator - Spanish
508, Writer
509,Product Management
510,Backend Dev
511, Frontend Dev
512,Data Analytics
513, Product Management
514, Translator - Chinese
515,DAO Governance project manager/supervisor
516,Product Management
517,Data Analytics
518, Research Analyst
519, Writer
520, Business development
521,Writer
522,Product Management
523,Government and Regulatory Affairs
524, Writer
525, Technical Support (Australian Taxation)
526,Backend Dev
527, Community Manager
528, Ethereum Dev
529, Frontend Dev
530, Government and Regulatory Affairs
531, Twitter Meme Lord
532, UI/UX Designer
533,Backend Dev
534, Creative (e.g.
535, graphic design or NFT creation)
536, Frontend Dev
537, Twitter Meme Lord
538, Writer
539,Government and Regulatory Affairs
540, Translator - Spanish
541,Community Manager
542, Data Analytics
543, Research Analyst
544, Twitter Meme Lord
545, General assistance
546,Research Analyst
547, Translator - Chinese
548, Writer
549,Product Management
550, Research Analyst
551,Backend Dev
552, Frontend Dev
553,Backend Dev
554, Ethereum Dev
555, Frontend Dev
556, Product Management
557,Frontend Dev
558,Research Analyst
559, Writer
560,UI/UX Designer
561, Writer
562, Marketing/business
563,Translator - Portuguese
564,Community Manager
565, Data Analytics
566, Research Analyst
567,Community Manager
568, Creative (e.g.
569, graphic design or NFT creation)
570, Product Management
571,Backend Dev
572, Ethereum Dev
573, Research Analyst
574,Backend Dev
575, Community Manager
576, Data Analytics
577, Frontend Dev
578, Product Management
579, Writer
580,Product Management
581, Writer
582,Frontend Dev
583, Product Management
584,Frontend Dev
585, Product Management
586,Creative (e.g.
587, graphic design or NFT creation)
588, social media
589, marketing
590, PR
591, publicity
592,Backend Dev
593, Frontend Dev
594, UI/UX Designer
595,Backend Dev
596, Data Analytics
597, Ethereum Dev
598,Backend Dev
599, Community Manager
600, Creative (e.g.
601, graphic design or NFT creation)
602, Frontend Dev
603, Product Management
604, Research Analyst
605, Writer
606,Creative (e.g.
607, graphic design or NFT creation)
608,Community Manager
609, Data Analytics
610, Product Management
611, Translator - Chinese
612, CFA Finance background
613,Community Manager
614, Data Analytics
615, Translator - Chinese
616, CFA Finance background
617,Backend Dev
618, Ethereum Dev
619, Frontend Dev
620, Product Management
621, Translator - Spanish
622, Writer
623,Community Manager
624, Creative (e.g.
625, graphic design or NFT creation)
626, Product Management
627, Twitter Meme Lord
628,Data Analytics
629,Backend Dev
630, Community Manager
631, Product Management
632, Liaison
633,Creative (e.g.
634, graphic design or NFT creation)
635,Product Management
636,Writer
637, SEO
638,Community Manager
639, Translator - Vietnamese
640,Backend Dev
641,Backend Dev
642, Ethereum Dev
643, Frontend Dev
644,Creative (e.g.
645, graphic design or NFT creation)
646,Community Manager
647, Translator - Spanish
648,Product Management
649,Backend Dev
650, Community Manager
651, Product Management
652, Research Analyst
653,None of the above... I'm new. I'm learning. I'm like the billion other people who are interested in the space
654, but don't know enough about. I'm outgoing. I can speak in public. I can DJ and I make homemade pizza every week.  I'm fun. I'm funny.  I can help almost anywhere. I even used to be a high tech head hunter.  
655,Product Management
656,Backend Dev
657, Ethereum Dev
658, Frontend Dev
659, Writer
660,Community Manager
661, Research Analyst
662, I'm good with financial data and numbers in general with coding experience
663, but coding is not my full time job. Happy to step back into the game though if helping hands are needed!
664,Community Manager
665, Translator - Spanish
666,Backend Dev
667, Creative (e.g.
668, graphic design or NFT creation)
669, Ethereum Dev
670, Frontend Dev
671, Writer
672, Visual Effects/3D Work
673,Product Management
674,Data Analytics
675, Product Management
676,Community Manager
677, Community administrator
678,Community Manager
679, Data Analytics
680, Government and Regulatory Affairs
681,Data Analytics
682, Ethereum Dev
683, Research Analyst
684,Writer
685,Community Manager
686, Government and Regulatory Affairs
687, Research Analyst
